Qty,Value,Device,Package,Parts,Description,MF,MPN,Aliexpress or Ebay link
2,100nF | 50v | +80-20%,,SMD 0805,"C1, C4",SMD ceramic capacitor 100nF | Y5V,,,http://ali.ski/nnISH
1,47uF | 6v3 | 10%,,SMD 1812,C2,SMD ceramic capacitor 47uF | Y5V,,,http://ali.ski/B89nD8
1,10pF | 50v | +80-20%,,SMD 0805,C3,SMD ceramic capacitor 47uF | Y5V (optional),,,http://ali.ski/nnISH
2,10K | 5%,,SMD 0805,"R1, R2",SMD resistor 10K Ohm,,,http://ali.ski/x9ghl
1,100K | 5%,,SMD 0805,R3,SMD resistor 100K Ohm,,,http://ali.ski/x9ghl
2,2K | 5%,,SMD 0805,"R4, R6",SMD resistor 2K Ohm,,,http://ali.ski/x9ghl
1,360 | 5%,,SMD 0805,R5,SMD resistor 360 Ohm,,,http://ali.ski/x9ghl
2,1PS76SB10.115,,SOD-323,"D1, D2",SMD Schottky Barrier Diode,,,http://ali.ski/5dTu7U
1,2x3P | 6pin | 1.27mm,,SMT,J1,Pin Header Female,,,http://ali.ski/tKqX1J
1,RGB LED,,SMD 0805,RGBL1,RGB LED,,,http://ali.ski/BPc4y
1,YJ-17103,,SMT,U2,nRF52832 Module,,,http://ali.ski/elwkT
2,Button,,SMT,"U3, U4",b4.5x4.5,,,http://ali.ski/7eX0DK
1,TTP223,,SOT-23-6L,U5,1 KEY TOUCH PAD DETECTOR IC,,,http://ali.ski/RrWnC
1,HU-2450 N-1,,DIP,U6,Battery Holder,,,https://ru.mouser.com/ProductDetail/Renata/HU2450N-1?qs=weLdYPLz6SNVHVWWurrMmw%3D%3D
